Brand Names,Buyer Classification,Buyer Sector,Buyer HQ Location,Buyer HQ Region,Cum. Retirements,"Cum. Share, %",Last 5 Years Retirements,"Last 5 Years Share, %",2019,2020,2021,2022,2023,2024,Repeat Tx count,Average purchase per year,Last 2 Years Purchases,Purchases before Last 2 Years,Last 2 Years gain vs prior
Keune,Beauty and personal care industry,Retail,Netherlands,Europe,240,0.00%,240,0.00%,,,,240,,,1,240,0,240,0.00%
Key Carbon Ltd,Carbon financing,Environmental & Sustainability Services,Canada,North America,"4,500",0.01%,"4,500",0.01%,,,,,,"4,500",0,"4,500","4,500",0,100.00%
Kia,Automotive,Transportation/Logistics,South Korea,Asia,720,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,720,0.00%
Kieger,Financial Services,Financial Services,United States,North America,73,0.00%,73,0.00%,,,,,,73,0,73,73,0,100.00%
Kiewa Valley,Food and Beverage,Food and Beverage,Australia,Oceania,126,0.00%,126,0.00%,,,126,,,,1,126,0,126,0.00%
Kindred Capital,Venture Capital,Financial Services,United Kingdom,Europe,27,0.00%,27,0.00%,,,,27,,,1,27,0,27,0.00%
Kinect Energy Green Services,Renewable energy,Energy/Mining/Utilities,Norway,Europe,40,0.00%,40,0.00%,,40,,,,,1,40,0,40,0.00%
King,Real Estate,Real Estate,United States,North America,100,0.00%,100,0.00%,,,,,,100,0,100,100,0,100.00%
Kinnarps,Office furniture,Retail,Sweden,Europe,78,0.00%,78,0.00%,78,,,,,,1,78,0,78,0.00%
Kino im Waldhorn,Entertainment,Entertainment/Media/Sports,Germany,Europe,80,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,80,0.00%
Kino Waldhorn,Food & Beverage,Food and Beverage,Germany,Europe,80,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,80,0.00%
Kirkland & Ellis,Law firm,Consulting Services,United States,North America,705,0.00%,705,0.00%,,,,,705,,1,705,705,0,100.00%
Kite Lake Capital Management,Finance/Investment Management,Financial Services,United States,North America,223,0.00%,223,0.00%,,,,,223,,1,223,223,0,100.00%
Kiubo Safaris,Travel and Tourism,Travel & Tourism,Kenya,Africa,324,0.00%,324,0.00%,,162,162,,,,2,162,0,324,0.00%
Kiwi Self Storage,Self Storage,Retail,New Zealand,Oceania,65,0.00%,65,0.00%,,,,,65,,1,65,65,0,100.00%
Kiwi Wealth,Financial Services,Financial Services,New Zealand,Oceania,45,0.00%,45,0.00%,,,,,45,,1,45,45,0,100.00%
Kızılay,Beverage industry,Food and Beverage,Turkey,Europe,41,0.00%,41,0.00%,,,,,,41,0,41,41,0,100.00%
Klatschmohn Naturkost,Food and Beverage,Food and Beverage,Germany,Europe,88,0.00%,88,0.00%,,88,,,,,1,88,0,88,0.00%
Kleczka & Partner,Accounting and Tax Consulting,Consulting Services,Germany,Europe,90,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,90,0.00%
Klima,Home appliances or HVAC industry,Construction/Engineering,Germany,Europe,"120,234",0.16%,"113,404",0.17%,,"3,507","28,900","44,600","22,564","13,833",4,"22,681","36,397","83,837",30.27%
Klimahelden GmbH,Renewable Energy,Energy/Mining/Utilities,Germany,Europe,141,0.00%,141,0.00%,,,,,,141,0,141,141,0,100.00%
KlimAktiv Consulting GmbH,Environmental Consulting,Consulting Services,Germany,Europe,"14,147",0.02%,"11,897",0.02%,,52,133,"4,339","5,756","1,617",4,"2,379","7,373","6,774",52.12%
KlimaManufaktur,Manufacturing/ HVAC industry,Construction/Engineering,Germany,Europe,"1,219",0.00%,960,0.00%,419,16,327,27,171,,5,192,171,"1,048",14.03%
KlimaNeutral,Environmental sustainability,Agriculture/Agribusiness/Resources,Sweden,Europe,200,0.00%,200,0.00%,200,,,,,,1,200,0,200,0.00%
Klimaneutrales Erdgas,Energy & Utilities,Energy/Mining/Utilities,Germany,Europe,"15,327",0.02%,0,0.00%,0,0,0,0,0,0,5,0,0,"15,327",0.00%
Klimaneutralstellung,Environmental services or sustainability industry,Agriculture/Agribusiness/Resources,Germany,Europe,"12,233",0.02%,"8,201",0.01%,"4,032","4,169",,,,,2,"4,101",0,"12,233",0.00%
Klimaschule,Education,Others,Germany,Europe,425,0.00%,425,0.00%,,,,,,425,0,425,425,0,100.00%
Klimaschutzstiftung Baden-Württemberg,Non-profit/Environmental Conservation,Agriculture/Agribusiness/Resources,Germany,Europe,"3,932",0.01%,"3,932",0.01%,,,,,917,"3,015",1,"1,966","3,932",0,100.00%
Klimatneutral,Sustainability Consulting,Environmental & Sustainability Services,Germany,Europe,263,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,263,0.00%
Klimatneutrala Resor,Travel and tourism,Travel & Tourism,Sweden,Europe,238,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,238,0.00%
Klimatneutralt Företag,Environmental sustainability,Agriculture/Agribusiness/Resources,Sweden,Europe,"32,329",0.04%,"14,942",0.02%,,"9,367","5,575",,,,2,"7,471",0,"32,329",0.00%
Klina,Beauty and skincare industry,Retail,United States,North America,999,0.00%,999,0.00%,,,,,999,,1,999,999,0,100.00%
KLM,Travel & Transportation,Transportation/Logistics,Netherlands,Europe,"255,479",0.34%,"131,238",0.20%,"7,881","45,066","23,774","29,755","18,009","6,753",5,"21,873","24,762","230,717",9.69%
Kloster Forum,Education/Training,Others,Germany,Europe,107,0.00%,107,0.00%,,,,,107,,1,107,107,0,100.00%
KLP (Kommunal Landspensjonskasse),Financial Services/Insurance,Financial Services,Norway,Europe,532,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,532,0.00%
Knauber,Retail or Home Improvement,Retail,Germany,Europe,"1,800",0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,"1,800",0.00%
Knauf,Building materials,Construction/Engineering,Germany,Europe,340,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,340,0.00%
KNIME,Software - Application,Technology/Telecommunications,Germany,Europe,68,0.00%,68,0.00%,,,,,,68,0,68,68,0,100.00%
Knowit,Technology/IT Consulting,Consulting Services,Sweden,Europe,"24,722",0.03%,"24,722",0.04%,"1,700","4,274","3,561","8,530","6,657",,5,"4,944","6,657","18,065",26.93%
Kodama,Technology,Technology/Telecommunications,Japan,Asia,10,0.00%,10,0.00%,,,10,,,,1,10,0,10,0.00%
Koehle-Ratzlaff,Construction,Construction/Engineering,Germany,Europe,13,0.00%,13,0.00%,,,,,13,,1,13,13,0,100.00%
Kohl-Kramer,Construction Equipment,Construction/Engineering,Germany,Europe,15,0.00%,15,0.00%,,,15,,,,1,15,0,15,0.00%
Kohl's,Retail,Retail,United States,North America,120,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,120,0.00%
KOKO Networks,Energy,Energy/Mining/Utilities,Kenya,Africa,23,0.00%,23,0.00%,,,,,,23,0,23,23,0,100.00%
KOKON,Fashion/Apparel,Apparel/Fashion,Germany,Europe,152,0.00%,152,0.00%,,,,,152,,1,152,152,0,100.00%
Kol Haneshamah,Insurance,Financial Services,Israel,Middle East,86,0.00%,86,0.00%,86,,,,,,1,86,0,86,0.00%
Kommunal,Government/ Public Sector,Non-profit/Charity/Government/NGO,Sweden,Europe,"6,390",0.01%,"6,390",0.01%,"3,915","1,781",694,,,,3,"2,130",0,"6,390",0.00%
Kompensation,Insurance,Financial Services,Germany,Europe,45,0.00%,45,0.00%,,,45,,,,1,45,0,45,0.00%
Kompenserad,Carbon offsetting,Environmental & Sustainability Services,Sweden,Europe,67,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,67,0.00%
KONE,Construction/Engineering/Manufacturing,Construction/Engineering,Finland,Europe,"1,954",0.00%,"1,954",0.00%,,,,14,492,"1,448",2,651,"1,940",14,99.28%
Konecranes,Industrial Machinery or Material Handling Industry,Construction/Engineering,Finland,Europe,"4,804",0.01%,"4,804",0.01%,,,,950,"3,854",,2,"2,402","3,854",950,80.22%
Konekti Media,Media,Entertainment/Media/Sports,Media,North America,40,0.00%,40,0.00%,,,,,,40,0,40,40,0,100.00%
Koninklijke Nederlandse Hockey Bond (KNHB),Sports/Recreation,Entertainment/Media/Sports,Netherlands,Europe,"10,183",0.01%,"2,487",0.00%,,,,"2,487",,,1,"2,487",0,"10,183",0.00%
Kontaktdagen,Event Management,Others,Sweden,Europe,192,0.00%,192,0.00%,50,72,,70,,,3,64,0,192,0.00%
Koobi,Sports/Recreation,Entertainment/Media/Sports,Ghana,Africa,"1,560",0.00%,"1,560",0.00%,,,900,660,,,2,780,0,"1,560",0.00%
Koos,Service Design,Consulting Services,Finland,Europe,372,0.00%,372,0.00%,,,,,,372,0,372,372,0,100.00%
Koppert,Agriculture/Agribusiness,Agriculture/Agribusiness/Resources,Netherlands,Europe,"4,652",0.01%,"2,985",0.00%,,,"2,985",,,,1,"2,985",0,"4,652",0.00%
Kornhaus Naturkost,Food and Beverage,Food and Beverage,Germany,Europe,10,0.00%,10,0.00%,,,,10,,,1,10,0,10,0.00%
KOSMOS ENERGY,Energy/oil and gas sector,Energy/Mining/Utilities,United States,North America,"19,700",0.03%,"19,700",0.03%,,,"12,500",,,"7,200",1,"9,850","7,200","12,500",36.55%
Kotileena,Furniture,Retail,Finland,Europe,120,0.00%,120,0.00%,,,30,50,40,,3,40,40,80,33.33%
Kotipizza,Restaurant industry,Food and Beverage,Finland,Europe,50,0.00%,50,0.00%,,,,,,50,0,50,50,0,100.00%
KOy Saunalahden Navigaattori,Technology/Telecommunications,Technology/Telecommunications,Finland,Europe,"1,200",0.00%,"1,200",0.00%,,,,"1,200",,,1,"1,200",0,"1,200",0.00%
KPA Pensionsförsäkring AB,Financial Services,Financial Services,Sweden,Europe,908,0.00%,908,0.00%,680,130,98,,,,3,303,0,908,0.00%
KPMG,Professional Services/Consulting,Consulting Services,Netherlands,Europe,"3,747",0.01%,"3,747",0.01%,,,,500,"1,950","1,297",2,"1,249","3,247",500,86.66%
KPN,Telecommunications,Technology/Telecommunications,Netherlands,Europe,41,0.00%,41,0.00%,,,25,16,,,2,21,0,41,0.00%
Kraftringen,Energy & Utilities,Energy/Mining/Utilities,Sweden,Europe,"1,601",0.00%,"1,601",0.00%,,,630,671,,300,2,534,300,"1,301",18.74%
Krazy World,"Entertainment, Tourism, Zoo",Entertainment/Media/Sports,India,Asia,161,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,161,0.00%
Kreisler Ng,Jewelry,Retail,United States,North America,20,0.00%,20,0.00%,,20,,,,,1,20,0,20,0.00%
Kreissparkasse,Finance/ Banking,Financial Services,Germany,Europe,"1,000",0.00%,"1,000",0.00%,,,,,"1,000",,1,"1,000","1,000",0,100.00%
Kremer-Kautschuk-Kunststoff GmbH & Co. KG,Manufacturing/Industrial Goods,Construction/Engineering,Germany,Europe,216,0.00%,216,0.00%,216,,,,,,1,216,0,216,0.00%
Kremer-Polymer-Industries,Chemicals,Manufacturing/Engineering,Germany,Europe,300,0.00%,300,0.00%,,,,,,300,0,300,300,0,100.00%
Kristiansand,Location/Travel/Tourism,Travel & Tourism,Norway,Europe,"8,298",0.01%,"3,146",0.00%,"3,146",,,,,,1,"3,146",0,"8,298",0.00%
Kroger,Grocery Retail,Retail,United States,North America,108,0.00%,108,0.00%,,,,108,,,1,108,0,108,0.00%
Kronägg,Food and Beverage,Food and Beverage,Sweden,Europe,"17,469",0.02%,"15,369",0.02%,,"6,558","2,084","5,050","1,677",,4,"3,842","1,677","15,792",9.60%
Kronans Droghandel Apotek AB,Pharmacy/Healthcare,Healthcare/Pharmaceuticals,Sweden,Europe,658,0.00%,658,0.00%,,334,324,,,,2,329,0,658,0.00%
Krow Communications,Marketing and Public Relations,Advertising/Marketing/PR,United Kingdom,Europe,66,0.00%,66,0.00%,,,,66,,,1,66,0,66,0.00%
Kruck Schlemmer Service GmbH,Service Sector,Consulting Services,Germany,Europe,200,0.00%,200,0.00%,,,,200,,,1,200,0,200,0.00%
KSK,Real Estate,Real Estate,United Arab Emirates,Middle East,"1,400",0.00%,"1,400",0.00%,,,,,,"1,400",0,"1,400","1,400",0,100.00%
KSP 157_E,Energy,Energy/Mining/Utilities,Kazakhstan,Asia,198,0.00%,198,0.00%,,,,,,198,0,198,198,0,100.00%
Kube Aviation,Aviation,Transportation/Logistics,United States,North America,20,0.00%,20,0.00%,,,,20,,,1,20,0,20,0.00%
Kubi Kalloo,Food and Beverage,Food and Beverage,India,Asia,218,0.00%,218,0.00%,68,133,,17,,,3,73,0,218,0.00%
Kullabergsguiderna,Publishing,Entertainment/Media/Sports,Sweden,Europe,22,0.00%,22,0.00%,,22,,,,,1,22,0,22,0.00%
Kulturfestival,Arts and Culture,Entertainment/Media/Sports,Germany,Europe,50,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,50,0.00%
Kulturskolerådet,Education,Others,Norway,Europe,34,0.00%,34,0.00%,,34,,,,,1,34,0,34,0.00%
Kurt J. Lesker Company,Manufacturing/Industrial Equipment,Construction/Engineering,United States,North America,110,0.00%,110,0.00%,,,110,,,,1,110,0,110,0.00%
Kvadrat,Textiles and Fabrics,Apparel/Fashion,Denmark,Europe,"2,021",0.00%,"2,021",0.00%,,"1,762",60,,,199,2,674,199,"1,822",9.85%
L Catterton,Private Equity / Investment Banking,Financial Services,United States,North America,"1,803",0.00%,"1,803",0.00%,,,"1,803",,,,1,"1,803",0,"1,803",0.00%
L.E.K. Consulting,Management Consulting,Consulting Services,United States,North America,"1,800",0.00%,"1,800",0.00%,,,,,,"1,800",0,"1,800","1,800",0,100.00%
L'Oréal,Cosmetics and Beauty,Retail,France,Europe,"744,889",1.00%,"744,845",1.14%,,,,,,"744,845",0,"744,845","744,845",44,99.99%
L&T,Engineering and construction sector,Construction/Engineering,India,Asia,"1,983",0.00%,"1,983",0.00%,,,538,936,509,,3,661,509,"1,474",25.67%
La Banque Postale,Banking/Financial Services,Financial Services,France,Europe,"1,000",0.00%,"1,000",0.00%,,,,"1,000",,,1,"1,000",0,"1,000",0.00%
La Floresta,Real Estate,Others,Ecuador,South America,68,0.00%,28,0.00%,14,14,,,,,2,14,0,68,0.00%
La Française des jeux,Gaming/Entertainment sector,Entertainment/Media/Sports,France,Europe,"1,000",0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,"1,000",0.00%
La Gacilly,Event Planning,Consulting Services,France,Europe,47,0.00%,47,0.00%,,,,,,47,0,47,47,0,100.00%
La PFUE,Beauty and cosmetics,Retail,France,Europe,"4,628",0.01%,0,0.00%,0,0,0,0,0,0,5,0,0,"4,628",0.00%
La Poste,Postal and delivery services,Transportation/Logistics,France,Europe,"178,810",0.24%,"149,120",0.23%,"29,186",,,"92,241","27,693",,3,"49,707","27,693","151,117",15.49%
La Société,Hospitality/Restaurant industry,Food and Beverage,France,Europe,"13,194",0.02%,0,0.00%,0,0,0,0,0,0,5,0,0,"13,194",0.00%
LAB Productions,Entertainment,Entertainment/Media/Sports,United States,North America,631,0.00%,631,0.00%,,,,,,631,0,631,631,0,100.00%
Laburnum Associates,Financial Services,Financial Services,United Kingdom,Europe,21,0.00%,21,0.00%,,,,,21,,1,21,21,0,100.00%
Lafim,Healthcare,Healthcare/Pharmaceuticals,India,Asia,"18,376",0.02%,"18,376",0.03%,,,,,,"18,376",0,"18,376","18,376",0,100.00%
Lahden kaupungin,Government/Local Government,Non-profit/Charity/Government/NGO,Finland,Europe,477,0.00%,477,0.00%,,336,,141,,,2,239,0,477,0.00%
Laitano,Dairy,Food and Beverage,Costa Rica,North America,31,0.00%,31,0.00%,17,14,,,,,2,16,0,31,0.00%
Lakes,Hospitality/Travel/Tourism,Travel & Tourism,United States,North America,309,0.00%,309,0.00%,,150,,125,,34,2,103,34,275,11.00%
Lamb & Hayward,Funeral services,Non-profit/Charity/Government/NGO,New Zealand,Oceania,150,0.00%,150,0.00%,,,,,150,,1,150,150,0,100.00%
Laminam,Ceramic tiles,Retail,Italy,Europe,11,0.00%,11,0.00%,,,,11,,,1,11,0,11,0.00%
Lancaster Methodist Church,Religious Organizations,Non-profit/Charity/Government/NGO,United States,North America,11,0.00%,11,0.00%,,,,,,11,0,11,11,0,100.00%
Land & Sea Civil,Construction,Construction/Engineering,New Zealand,Oceania,37,0.00%,37,0.00%,,,,37,,,1,37,0,37,0.00%
Land of African Business,Business/Consulting/Education,Consulting Services,Nigeria,Africa,400,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,400,0.00%
Landal Greenparks,Hospitality/Tourism/Travel,Travel & Tourism,Netherlands,Europe,"12,000",0.02%,"12,000",0.02%,"12,000",,,,,,1,"12,000",0,"12,000",0.00%
Lander & Rogers,Law firm,Consulting Services,Australia,Oceania,698,0.00%,698,0.00%,,,,,698,,1,698,698,0,100.00%
Lane Crawford,Department Stores,Retail,Hong Kong,Asia,37,0.00%,37,0.00%,,,,37,,,1,37,0,37,0.00%
Lansdowne,Finance,Financial Services,United Kingdom,Europe,216,0.00%,216,0.00%,,,,,,216,0,216,216,0,100.00%
Länsförsäkringar,Insurance,Financial Services,Sweden,Europe,"4,405",0.01%,"4,405",0.01%,"4,065",,,340,,,2,"2,203",0,"4,405",0.00%
Lansinoh,Healthcare/Parenting/Baby Products,Healthcare/Pharmaceuticals,United States,North America,"4,708",0.01%,"4,708",0.01%,,,,"1,975","2,733",,2,"2,354","2,733","1,975",58.05%
Lantz Trafikskola,Driving Schools,Others,Sweden,Europe,20,0.00%,20,0.00%,20,,,,,,1,20,0,20,0.00%
Lapland Safaris,Tourism/Travel industry,Travel & Tourism,Finland,Europe,"1,337",0.00%,"1,337",0.00%,,719,,618,,,2,669,0,"1,337",0.00%
Laporte,Fashion/Apparel,Apparel/Fashion,France,Europe,192,0.00%,192,0.00%,,,,192,,,1,192,0,192,0.00%
Lapwing,Software Development,Technology/Telecommunications,India,Asia,20,0.00%,20,0.00%,,,,,20,,1,20,20,0,100.00%
Larsen & Toubro,Engineering and construction sector,Construction/Engineering,India,Asia,"1,208",0.00%,"1,208",0.00%,,,,,508,700,1,604,"1,208",0,100.00%
lastminute,Travel and Leisure,Travel & Tourism,United States,North America,913,0.00%,913,0.00%,,,,,,913,0,913,913,0,100.00%
Lavazza,Food and Beverage,Food and Beverage,Italy,Europe,"175,000",0.24%,"175,000",0.27%,,"20,000","65,000","70,000","20,000",,4,"43,750","20,000","155,000",11.43%
Law Society of Scotland,Legal Services,Consulting Services,United Kingdom,Europe,30,0.00%,30,0.00%,,,,,,30,0,30,30,0,100.00%
Lawson's Dry Hills,Wine Production,Food and Beverage,New Zealand,Oceania,355,0.00%,355,0.00%,,,,40,,315,1,178,315,40,88.73%
LDS Lederer,Building Cleaning Services,Others,Germany,Europe,90,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,90,0.00%
Le Botaniste,Food and Beverage,Food and Beverage,United States,North America,130,0.00%,130,0.00%,,130,,,,,1,130,0,130,0.00%
Le Syndicat des Eaux d’Île-de-France,Public Utilities/Water Management,Energy/Mining/Utilities,France,Europe,"10,412",0.01%,"10,412",0.02%,,"7,700",,"2,712",,,2,"5,206",0,"10,412",0.00%
Leadec,Industrial Services,Construction/Engineering,Germany,Europe,"1,249",0.00%,"1,249",0.00%,,,"1,249",,,,1,"1,249",0,"1,249",0.00%
Leader Team,Construction,Construction/Engineering,United Kingdom,Europe,24,0.00%,24,0.00%,,,,13,11,,2,12,11,13,45.83%
Leap Media,Marketing and Advertising,Advertising/Marketing/PR,United States,North America,20,0.00%,20,0.00%,20,,,,,,1,20,0,20,0.00%
LeasePlan,Automotive/Transportation,Transportation/Logistics,Netherlands,Europe,865,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,865,0.00%
Lebensgarten,Assisted Living Facilities,Healthcare/Pharmaceuticals,Germany,Europe,10,0.00%,10,0.00%,,,10,,,,1,10,0,10,0.00%
"Lederfabrik Heinen, Loints of Holland",Leather goods,Apparel/Fashion,Germany,Europe,50,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,50,0.00%
Lederfabrik Josef Heinen GmbH & Co. KG,Fashion/Leather Goods,Apparel/Fashion,Germany,Europe,495,0.00%,395,0.00%,,,,395,,,1,395,0,495,0.00%
Lee Ann Fashions,Apparel and Fashion,Apparel/Fashion,United States,North America,582,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,582,0.00%
LEFAY RESORT,Hospitality,Travel & Tourism,Italy,Europe,34,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,34,0.00%
Left Handed Giant,Brewery,Food and Beverage,United Kingdom,Europe,80,0.00%,80,0.00%,,,,,,80,0,80,80,0,100.00%
Legal & General,Financial Services,Financial Services,United Kingdom,Europe,111,0.00%,111,0.00%,,111,,,,,1,111,0,111,0.00%
Legendre,Logistics,Transportation/Logistics,France,Europe,350,0.00%,350,0.00%,,,,,,350,0,350,350,0,100.00%
LEGO,Toys & Games,Retail,Denmark,Europe,200,0.00%,200,0.00%,,,,,,200,0,200,200,0,100.00%
LEGRAND,Electrical equipment and components industry,Technology/Telecommunications,France,Europe,"230,000",0.31%,"230,000",0.35%,,,,,"155,402","74,598",1,"115,000","230,000",0,100.00%
Lehrerkolleg,Education,Others,Germany,Europe,173,0.00%,173,0.00%,,,,,,173,0,173,173,0,100.00%
Lehrerkolleg LK GmbH,Education,Non-profit/Charity/Government/NGO,Germany,Europe,446,0.00%,446,0.00%,,38,,,408,,2,223,408,38,91.48%
LEICHT,Home furnishings or kitchen design industry,Retail,Germany,Europe,"3,530",0.00%,"3,530",0.01%,"1,261","2,000",269,,,,3,"1,177",0,"3,530",0.00%
Leisure 'n Pleasure,Leisure and Hospitality,Travel & Tourism,United States,North America,121,0.00%,121,0.00%,,,,,,121,0,121,121,0,100.00%
Leithäuser,Law firm,Consulting Services,Germany,Europe,12,0.00%,12,0.00%,,,12,,,,1,12,0,12,0.00%
Lemonpie,Film Production,Entertainment/Media/Sports,United States,North America,50,0.00%,50,0.00%,,,,,,50,0,50,50,0,100.00%
Lendesk,Finance,Financial Services,Canada,North America,149,0.00%,149,0.00%,,,,,,149,0,149,149,0,100.00%
LendLease,Real Estate/Construction,Construction/Engineering,Australia,Oceania,880,0.00%,880,0.00%,,880,,,,,1,880,0,880,0.00%
Lenovo,Technology,Technology/Telecommunications,China,Asia,30,0.00%,30,0.00%,,,,,30,,1,30,30,0,100.00%
LEO,Fashion/Apparel,Apparel/Fashion,Italy,Europe,"3,883",0.01%,"3,883",0.01%,,,"3,883",,,,1,"3,883",0,"3,883",0.00%
Leonardo DiCaprio,Entertainment,Entertainment/Media/Sports,United States,North America,170,0.00%,170,0.00%,170,,,,,,1,170,0,170,0.00%
Lernova,Education,Others,United States,North America,55,0.00%,55,0.00%,,,,,,55,0,55,55,0,100.00%
Les Rives,Travel and Tourism,Travel & Tourism,Vietnam,Asia,363,0.00%,363,0.00%,,,,,363,,1,363,363,0,100.00%
