Brand Names,Buyer Classification,Buyer Sector,Buyer HQ Location,Buyer HQ Region,Cum. Retirements,"Cum. Share, %",Last 5 Years Retirements,"Last 5 Years Share, %",2019,2020,2021,2022,2023,2024,Repeat Tx count,Average purchase per year,Last 2 Years Purchases,Purchases before Last 2 Years,Last 2 Years gain vs prior
Battery Associates,Battery Manufacturing,Manufacturing/Engineering,United States,North America,11,0.00%,11,0.00%,,,,11,,,1,11,0,11,0.00%
baukreativ AG,Construction/Architecture/Design,Construction/Engineering,Switzerland,Europe,"1,200",0.00%,"1,200",0.00%,,,"1,200",,,,1,"1,200",0,"1,200",0.00%
Bausch+Ströbel,Pharmaceuticals,Healthcare/Pharmaceuticals,Germany,Europe,"5,576",0.01%,"5,576",0.01%,,,,,,"5,576",0,"5,576","5,576",0,100.00%
Baux,Manufacturing,Manufacturing/Engineering,Australia,Oceania,314,0.00%,314,0.00%,,,,,,314,0,314,314,0,100.00%
Bayer,Pharmaceuticals/Healthcare,Healthcare/Pharmaceuticals,Germany,Europe,"230,000",0.31%,"230,000",0.35%,,,,"150,000",,"80,000",1,"115,000","80,000","150,000",34.78%
Bayerische,Automotive,Transportation/Logistics,Germany,Europe,867,0.00%,867,0.00%,,,,,867,,1,867,867,0,100.00%
Bayerische Staatskanzlei,Government/Politics,Non-profit/Charity/Government/NGO,Germany,Europe,280,0.00%,280,0.00%,,,,,280,,1,280,280,0,100.00%
BayWa,Agriculture/Agribusiness,Agriculture/Agribusiness/Resources,Germany,Europe,"10,057",0.01%,"9,467",0.01%,"5,107",,,208,,"4,152",2,"3,156","4,152","5,905",41.28%
Baywater Healthcare,Healthcare,Healthcare/Pharmaceuticals,United Kingdom,Europe,441,0.00%,441,0.00%,,,441,,,,1,441,0,441,0.00%
BBF,Construction,Construction/Engineering,Germany,Europe,78,0.00%,78,0.00%,,,56,,,22,1,39,22,56,28.21%
BBV (Bayerische Beamten Versicherung),Insurance,Financial Services,Germany,Europe,812,0.00%,812,0.00%,,,,,,812,0,812,812,0,100.00%
BCC,Business Consulting,Consulting Services,Germany,Europe,17,0.00%,17,0.00%,,17,,,,,1,17,0,17,0.00%
BCD Group Limited,Travel and tourism,Travel & Tourism,New Zealand,Oceania,86,0.00%,86,0.00%,,,,,,86,0,86,86,0,100.00%
BCF,Retail/Outdoor Recreation,Retail,United States,North America,"1,335",0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,"1,335",0.00%
